,left_side,right_side,similarity
52,THE UNITED STATES OF AMERICA AS REPRENSENTED BY THE ADMINISTRATOR OF THE NATIONAL AERONAUTICS SPACE ADMINISTRATION,THE UNITED STATES OF AMERICA AS REPRESENTED BY THE ADMINISTRATOR OF THE NATIONAL AERONAUTICS  SPACE ADMINISTRATION,0.950940804
51,THE UNITED STATES OF AMERICA AS REPRENSENTED BY THE ADMINISTRATOR OF THE NATIONAL AERONAUTICS SPACE ADMINISTRATION,THE UNITED STATES OF AMERICA AS REPRESENTED BY THE ADMINISTRATOR OF THE NATIONAL AERONAUTICS SPACE ADMINISTRATION,0.950940804
53,THE UNITED STATES OF AMERICA AS REPRENSENTED BY THE ADMINISTRATOR OF THE NATIONAL AERONAUTICS SPACE ADMINISTRATION,THE UNITED STATES OF AMERICA AS REPRESENTED BY THE ADMINISTRATOR OF THE NATIONAL AERONAUTICS SPACE ADMINISTRATIONS,0.94706348
55,THE UNITED STATES OF AMERICA AS REPRENSENTED BY THE ADMINISTRATOR OF THE NATIONAL AERONAUTICS SPACE ADMINISTRATION,UNITED STATES OF AMERICA AS  REPRESENTED BY THE ADMINISTRATOR OF THE NATIONAL AERONAUTICS SPACE ADMINISTRATION,0.941211534
54,THE UNITED STATES OF AMERICA AS REPRENSENTED BY THE ADMINISTRATOR OF THE NATIONAL AERONAUTICS SPACE ADMINISTRATION,UNITED STATES OF AMERICA AS REPRESENTED BY THE ADMINISTRATOR OF THE NATIONAL AERONAUTICS SPACE ADMINISTRATION,0.941211534
56,THE UNITED STATES OF AMERICA AS REPRENSENTED BY THE ADMINISTRATOR OF THE NATIONAL AERONAUTICS SPACE ADMINISTRATION,THE UNITED STATES OF AMERICA AS REPRESENTED BY THE ADMINISTRATOR OF THE NATIONAL AERONAUTICS SPACE ADMINISTRATOR,0.933362786
485,PATTERSON THUENTE CHRISTENSEN PEDERSON,PATTERSON THUENTE CHRISTENSEN  PEDERSEN,0.931063715
484,PATTERSON THUENTE CHRISTENSEN PEDERSON,PATTERSON THUENTE CHRISTENSEN PEDERSEN,0.931063715
57,THE UNITED STATES OF AMERICA AS REPRENSENTED BY THE ADMINISTRATOR OF THE NATIONAL AERONAUTICS SPACE ADMINISTRATION,THE UNITED STATES OF AMERICA AS REPRESENTED BY THE ADMINISTRATOR OF THE ADMINISTRATOR OF THE NATIONAL AERONAUTICS SPACE ADMINISTRATION,0.927153406
58,THE UNITED STATES OF AMERICA AS REPRENSENTED BY THE ADMINISTRATOR OF THE NATIONAL AERONAUTICS SPACE ADMINISTRATION,THE UNITED STATE OF AMERICA AS REPRESENTED BY THE ADMINISTRATOR OF THE NATIONAL AERONAUTICS SPACE ADMINISTRATION,0.923444455
